date,temperature,precipitation,sunshine_hours,soil_moisture,plant_height,leaf_area_index,stem_diameter
2023-06-02,,0.0,4.4,43.0,171.07,6.35,28.82
2023-06-03,28.34,0.0,4.4,42.4,174.0,5.83,29.39
2023-06-04,26.3,1.9,4.6,42.4,177.62,5.85,29.43
2023-06-05,29.91,0.0,5.5,41.8,181.44,6.32,30.35
2023-06-06,29.92,0.0,5.6,41.1,,5.98,28.78
2023-06-07,,0.0,5.3,40.5,188.55,5.97,30.04
2023-06-08,29.09,9.4,5.0,,191.73,6.48,29.81
2023-06-09,26.8,0.0,6.4,42.1,194.99,6.3,30.63
2023-06-10,28.85,3.5,5.4,42.5,197.39,6.07,30.65
2023-06-11,29.06,3.9,6.2,43.0,199.89,6.21,30.26
2023-06-12,28.19,0.0,5.1,42.4,201.22,6.47,29.56
2023-06-13,29.52,25.1,5.9,49.3,204.31,6.3,
2023-06-14,30.69,22.1,6.7,50.0,209.31,6.41,30.14
2023-06-15,33.69,0.0,3.6,49.3,211.46,6.35,29.86
2023-06-16,30.3,7.0,5.2,50.0,216.75,6.39,30.92
2023-06-17,30.48,0.0,6.3,49.3,220.74,6.27,29.95
2023-06-18,29.84,0.0,6.8,48.7,223.18,6.27,31.39
2023-06-19,26.16,,6.1,50.0,225.96,6.32,31.45
2023-06-20,29.95,0.0,6.0,49.3,228.56,6.4,30.58
2023-06-21,30.12,0.0,7.3,48.7,232.58,6.26,30.93
2023-06-22,34.92,0.0,7.1,47.9,235.6,6.33,30.84
2023-06-23,29.59,0.0,5.4,,239.09,6.27,31.3
2023-06-24,30.56,0.0,6.2,46.6,241.87,6.34,31.51
2023-06-25,,0.0,6.5,45.9,244.21,6.15,31.17
2023-06-26,27.56,3.3,,46.3,246.85,6.73,31.33
2023-06-27,32.15,0.0,7.0,,248.84,6.23,30.96
2023-06-28,31.33,0.0,6.3,44.9,249.94,6.29,31.45
2023-06-29,31.36,0.0,6.6,44.2,252.8,6.23,31.4
2023-06-30,27.9,0.0,5.0,43.6,253.74,6.45,31.04
2023-07-01,32.46,2.3,7.3,43.5,,6.33,31.46
2023-07-02,26.79,0.0,7.1,42.9,257.3,6.22,31.38
2023-07-03,,0.0,7.6,,259.79,6.47,31.36
2023-07-04,33.82,1.1,6.6,41.8,262.96,6.49,31.21
2023-07-05,27.38,0.0,6.8,41.2,265.79,6.37,31.76
2023-07-06,28.14,0.0,6.4,40.6,268.13,6.28,31.48
2023-07-07,29.37,0.0,5.9,39.9,269.38,6.71,31.67
2023-07-08,28.07,0.0,6.4,39.3,270.93,6.44,
2023-07-09,25.87,0.0,5.5,38.7,,6.2,32.24
2023-07-10,28.99,6.7,7.7,40.1,273.53,6.6,31.66
2023-07-11,26.61,5.3,5.3,41.1,274.76,6.27,32.26
2023-07-12,29.56,0.0,8.7,40.4,275.91,6.81,32.24
2023-07-13,26.65,0.0,5.7,39.8,276.97,6.41,32.93
2023-07-14,31.45,0.0,8.4,39.1,279.13,6.55,32.87
2023-07-15,26.65,0.0,6.5,38.5,279.63,6.09,31.76
2023-07-16,27.42,4.4,7.7,39.2,280.35,6.21,32.78
2023-07-17,29.54,,6.7,39.3,280.35,6.6,33.01
2023-07-18,25.3,0.0,8.7,38.7,282.7,6.45,32.79
2023-07-19,28.06,5.4,7.4,39.7,283.23,6.71,32.5
2023-07-20,30.05,4.3,8.3,40.3,284.89,6.48,33.66
2023-07-21,24.05,0.0,7.5,39.7,,6.43,33.02
2023-07-22,27.46,0.0,7.8,39.1,288.46,6.67,33.61
2023-07-23,27.42,0.0,8.1,38.5,289.31,,33.42
2023-07-24,28.28,0.0,7.2,37.8,289.52,6.39,33.13
2023-07-25,24.05,0.0,6.6,37.3,289.52,6.25,32.77
2023-07-26,23.69,0.0,6.7,36.7,289.52,6.06,33.06
2023-07-27,27.17,0.0,7.8,36.1,290.52,6.35,33.04
2023-07-28,26.52,0.0,7.4,35.5,291.98,6.24,32.71
2023-07-29,26.21,,6.1,38.2,293.16,6.81,33.51
2023-07-30,26.19,0.0,8.3,37.6,293.16,6.32,33.94
2023-07-31,23.92,0.0,6.9,37.0,294.73,6.32,33.26
2023-08-01,25.52,0.0,7.0,36.4,294.89,6.19,34.3
2023-08-02,25.41,0.0,8.0,35.8,294.89,6.38,32.88
2023-08-03,23.16,0.0,7.3,35.3,294.97,6.32,33.98
2023-08-04,28.09,6.4,8.2,36.6,295.67,6.68,34.29
2023-08-05,25.06,0.0,9.7,36.0,295.67,6.45,33.6
2023-08-06,21.48,0.0,7.8,35.5,296.22,6.42,33.67
2023-08-07,24.93,0.0,7.3,34.9,297.13,6.4,34.22
2023-08-08,21.41,0.0,8.4,34.4,298.55,6.54,34.07
2023-08-09,24.68,0.0,7.6,,299.21,6.36,33.13
2023-08-10,,0.0,8.3,33.2,299.21,6.53,33.65
2023-08-11,,0.0,8.6,32.7,299.81,,34.04
2023-08-12,24.23,0.0,8.3,32.2,299.81,6.5,33.56
2023-08-13,22.86,,8.4,31.6,299.81,6.39,33.98
2023-08-14,23.4,0.0,8.6,31.1,299.81,6.28,33.69
2023-08-15,25.27,0.0,,30.5,299.81,6.39,34.14
2023-08-16,20.7,0.0,8.3,30.0,299.81,6.51,34.21
2023-08-17,19.4,0.0,8.6,,301.08,6.2,34.55
2023-08-18,18.84,0.0,9.2,29.0,303.24,6.56,34.43
2023-08-19,18.69,0.0,8.9,28.6,303.24,,34.73
2023-08-20,19.87,0.0,8.3,28.1,304.44,6.41,34.74
2023-08-21,20.41,0.0,9.3,27.6,304.44,6.33,35.06
2023-08-22,19.98,0.0,7.9,27.1,304.44,6.36,35.05
2023-08-23,20.77,0.3,8.5,26.7,305.28,6.52,35.07
2023-08-24,18.84,6.6,8.1,28.2,305.75,6.41,36.07
2023-08-25,21.41,0.0,9.2,27.7,307.47,6.36,35.02
2023-08-26,17.66,0.0,9.7,27.3,307.47,6.51,35.98
2023-08-27,23.31,0.0,8.9,26.7,309.94,6.51,35.16
